content,reply,input_len,output_len
"..............................................................................
From :  		XXXX
To :  		XXXX
CC :  		
Subject :  	Question about the SolarNova programme
Delivered on :  	25/04/2019 11:07:49 AM
..............................................................................
XXXXXX
 Your Ref
 Our Ref 
 Categories
Dear Sir or Madam,
I am a Research Analyst for BloombergNEF, an energy market research firm. We are currently conducting our annual ClimateScope - an initiative to reach out to energy market participants of countries across the world to better inform our research. You can learn more about the initiative here.
I have a question regarding the SolarNova programme: As part of the programme, can solar project developers rely on standardised power purchase agreements (PPAs) or are the PPAs negotiated with developers individually? Are the terms of the PPA revealed to the public?
Thank you in advance and I look forward to hearing from you.
Warm regards,
X
XXXX
XXXX
XXXX
XXXX
XXXX
XXXX
XXXX
","Thank you for your interest in our SolarNova programme.
The SolarNova programme is a whole-of-government initiative jointly led by the Economics Development Board (EDB) and the Housing and Development Board (HDB). Under the SolarNova Programme, HDB aggregates the solar photovoltaic (PV) demand across the various public sector buildings, and engage solar PV vendors through leasing contracts to design, build, finance, own, operate and maintain solar PV systems for a leasing period of 20 years. 
While HDB acts as the aggregator and procurer, the leasing contractual agreements are signed between respective government agencies and town councils. Known as Solar Leasing Agreement, these agreements set the terms and conditions for effective management of the solar leasing contract over the contract period, e.g. the commercial terms. To ensure a fair and open tendering process, HDB will provide draft solar leasing agreements as part of the tender documents. These information are provided to prospective tenderers through Singapore government tendering system GeBiz www.gebiz.gov.sg. 
Following the tender award, the respective government agencies and town councils/building owners will sign the leasing agreement with the contracted solar PV vendor. While the general terms are largely the same, we recognise that each Building Owner/Manager may have their own unique operational requirements. These can be factored into the agreement (e.g. via an addendum), subject to agreement by both parties (i.e. building owner and solar PV vendor). However, key contracture terms, e.g. the commercial terms, are non-negotiable as these formed the basis for tender evaluation and are contractually binding. 
I hope the above is sufficient to address your queries. Thank you.
",1016,1770
"..............................................................................
From :  		 XXXX
To :  		XXXX
CC :  		
Subject :  	RE: [mnd250419-126] untidy installation of solar panel.
Delivered on :  	30/04/2019 06:34:01 PM
..............................................................................
 Your Ref
       TEL
 Our Ref 
       FAX
       Email
Categories 
Message Classification: Restricted
Dear QSMs, 
Can we please check if this solar installation is TC’s or HDB’s project? Would appreciate it if the relevant party could look into the enclosed emails and reply the writer directly to address his concerns. Please extend copy of the response to MND (mnd_qsm_mnd.gov.sg) for our records. Thank you.
Regards,
XXXXX
For QSM, MND
Privileged/Confidential information may be contained in this message. If you are not the intended recipient, you must not copy, distribute or use it for any purpose, nor disclose its contents to any other person. Please notify the sender immediately if you receive this in error. Unauthorised communication and disclosure of any information in the email is an offence under the Official Secrets Act (Cap 213).
From: XXXX
Sent: Thursday, 25 April 2019 2:18 PM
To:XXXX
Subject: untidy installation of solar panel.
Hello
At XXXX and all other blk the untidy installation of solar panel. So many protruding angle iron support the solar panel look messy at the rooftop. No more a clear skyline and from ground floor can see all the protruding structure.
I sent a photo of solar panel installation at jurong town hall so tidy and save huge cost of using angle iron. So many angle iron involve.
Most of the private home also install like JTC.
Kindly ask the contractor to remedy the installation. Thks Rgds. 
Sent from Yahoo Mail on Android
MND Email ID
XXXX
________________________________
Posted by MND_qsm_1/ on 30/04/2019 06:33:54 PM
","I refer to the above feedback. I note that the resident mentioned a few attachments regarding the solar panel installations of interest, which I am unable to locate. Could you kindly provide us with the attachments so that we are clearer on what the resident is referring to? Thank you._x000D_",1875,293
"Good afternoon XXXXX
Thank you for your email.
Under the provided link, Smart and Sustainable Living, Eco-lifestyle, Energy efficiency, it only provides a section about what an individual can do for his/her home.
How about the area where one lives in?
Has HDB come up with guidelines on how each Town Council can/should do so that all TCs in Singapore can be energy efficient, reduce the amount of energy?
I have to quote LTA on energy efficiency, not only has it introduced LED lamp posts, LTA has undergone its own studies and are adopting a more prudent use of light fixtures at its overhead bridges, covered walkways.
Will HDB provide the same guidelines or similar? I have travel around Singapore and the amount of light ""pollution"" and excess use of lights are more than above average. In addition, there seems to be no standard guideline what is the latest timing all lightings are to be switched off.
I am sure the Town Council does not have the expertise in these matters as most services are outsourced.
With this, how can the(ALL) Town Councils in Singapore be in sync with the government's climate action plan?
PUB has/is running campaigns to get citizens to reduce water usage, but there seems to be no concerted effort to reduce energy usage or be more energy efficient even though there is a Climate Change Secretariat in Singapore set up after Singapore became a signatory to the Paris Agreement.
Hope HDB can shed some light or enlighten me.
Thank you
Regards,
Alain CHOO
Sent from my HTC
","        Thank you for your email. I’m happy to share some of our sustainability efforts in HDB towns.
2        Since 2010, we have developed a Sustainable Development Framework to guide our sustainability efforts in HDB towns. Under the framework, one of the objectives is to achieve Low Carbon Development. We have adopted two main strategies (1) To achieve greater energy efficiency, and (2) To adopt clean and renewable energy.
3        Guided by the strategies, we have introduced various initiatives into our towns. For example, we have replaced the T5 lighting with LED lighting in the common corridors. With the advancement in technology, we have successfully testbedded the smart LED lighting which enables a further energy reduction of up to 50%. We are extending smart LED lighting to all new BTOs.
4        We have also embarked on the SolarNova programme with the support from EDB to accelerate the deployment of solar photovoltaic systems in Singapore. It is estimated that under the programme, about 420 GWh of solar energy will be generated annually. This is about 5% of Singapore’s total energy consumption or equivalent to powering 88,000 4-room flats. We are progressively rolling out 220MWp of solar panels across 5500 HDB blocks which will align with Singapore’s plans to generate 350MWp of solar power by 2020.
5        There are other initiatives that we are testbedding or rolling out, such as the elevator energy regenerative system which harnesses the energy while the lift is moving or braking and the smart energy meter which monitors the energy consumption in the common areas.
6        Hope this addresses your questions. Thank you.
",1506,1662
"..............................................................................
From :  		 XXXX
To :  		 XXXX 
CC :  		
Subject :  	Contractors Working on the Rooftop of XXXX in Unsafe Weather Condition
Delivered on :  	08/05/2019 11:11:51 AM
..............................................................................
 XXXX
 Your Ref
 Our Ref 
 Categories
 XXXX 
08/05/2019 11:11 AM
To
XXXX 
cc
bcc
Subject
Contractors Working on the Rooftop of XXXX in Unsafe Weather Condition
Dear HDB Officer-In-Charge
We received call this morning at 10.59am from a resident staying nearby, reporting that workers were observed working on the rooftop of XXXX in unsafe weather condition(lighting, thunder and heavy rain). According to the informant, the workers appear to be installing solar panels on the rooftop.
We would appreciate your attention to look into this safety feedback and keep us updated on this matter.
If you need clarification, please contact me at XXXX
Yours faithfully
XXXX 
Feedback Management Officer
Occupational Safety and Health Inspectorate. Ministry of Manpower . Tel XXXX http://www.mom.gov.sg Vision: A Great Workforce. A Great Workplace. Values: People-Centredness; Professionalism; Teamwork; Passion for Progress.
WARNING: This e-mail transmission is intended only for the addressee. Privileged/Confidential information may be contained in this message. If you are not the intended addressee, you should delete it and must not copy, distribute it or take any action in reliance thereon. Communication of any information in this email to any unauthorised person is an offence under the Official Secrets Act(Cap 213). Please notify the sender immediately if you have received this by mistake. DISCLAIMER: Any foregoing statements of opinion made by MOM are for your general information.  They are not legal opinions and are not binding on any person adjudicating any claim or action in any court, tribunal or other process. If you are unclear about your legal obligations, you should seek independent legal advice.
________________________________Posted by XXXX/ on 08/05/2019 11:11:43 AM
",,2109,0
There are holes at the grass patch n under the pillar,,53,0
"Dear Mr Lawrence Wong, MP Limbang, Marsiling-Yew Tee constituency and Minster MND.
We noticed that solar panels are to be installed on the roof top of XXXX ( the Apartment block, above 11th storey).  
We are on the 12th storey of the executive apartment block.  
We would like to request that during the installations of the solar panel, please adjust the angle of the solar panel such that it does not reflect the sun light into our living room and study room.  Otherwise, it would be too glaring to us.  
The following pictures show the views of the roof top from our windows.
Thanks for your attention.
Best regards.
XXXX
XXXX
XXXX
Email: XXXX
HPXXXX","Thank you for your feedback on the ongoing solar panel installation at Blk 561 Choa Chu Kang North 6.
To share, solar photovoltaic panels are designed to absorb as much sunlight as possible in order to maximise the amount of solar energy generated. As such, the amount of sunlight getting reflected is significantly reduced.
In addition, I note from the picture you provided of the view from your home that you are on relatively equal height level with the solar panel installation at the neighbouring rooftop. As the solar panels will be angled upwards towards the sun and away from your unit, it is highly unlikely that you will experience any form of glare from the solar panels. 
Nonetheless, we take note of your feedback and will exercise care to prevent any form of glare from the solar panels into your home. You can contact me at XXXX if you require further assistance on this matter. Thank you. 
",653,906
"
From :  XXXX
To :  XXXX
CC :  		XXXX
Subject :  	Re: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
Delivered on :  	27/05/2019 09:56:08 AM
------------------------------------------------------------------------------------------------------------------------
""Feedback""  feedback_amktc.org.sg 
 Your Ref
 Our Ref 
 Categories
Dear Sir/Mdm,
Thank you for writing in to Ang Mo Kio Town Council with your query. 
We refer to your email.   
As the matter of concern falls under the purview of Housing Development Board and its contractors for the project, we will by the way of this email forward your feedback to them to request them to look into your concerns and they will reply to you directly. 
CC HDB and its contractors:
Dear HDB and contractors,
Please assist with this query.  
Thank you and have a good day!  
With Best Regards,
Lim Melinda (Ms.)
Public Relations   Community Liaison Executive
Ang Mo Kio Town Council
Website : www.amktc.org.sg
For emergency cases outside office hours, please contact the 24-hour Essential Maintenance Services Unit (EMSU) at 1800-241-7711/1800-241-7711/1800-275-5555. Alternatively, to reach your property team directly, you may write to http://www.amktc.org.sg/feedback.aspx
From: XXXX
Sent: XXXX
To: Feedback
Cc: XXXX
Subject: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide 
Dear Sir/Mdm, 
With regards to the Solar Leasing of Grid-Tied Solar Photovoltaic System, we understand that electrical shutdown will be required to facilitate the works as reflected in the Temporary Shut Down Notice as show below:
One of the affected sites will be on the switch room where it houses Polcam equipment – Police CCTV deployed in HDB.
As the managing agent for SPF, can we kindly check whether there is an island-wide schedule for this type of works? 
The reason is to enable minimal disruption to SPF operation as we can plan the resources much more effectively.A4
Kindly help to advise please. Thank you.
Best Regards
cid:XXXX
Maintenance Manager
Certis Technology Singapore Pte Ltd
XXXX
M XXXX
E   XXXX
W  www.certisgroup.com
""Disclaimer: This email message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such case, please destroy the message and notify the sender immediately.""
""With effect from 23 October 2018, the Certis email domain has been changed to ""certisgroup.com"". Please amend your contact list to reflect the new domain name. Disclaimer: This e-mail message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such a case, please destroy the message and notify the sender immediately.""
[This e-mail and any attachments thereto are intended for the sole use of the recipient(s) named above and may contain information that is confidential and/or proprietary to Ang Mo Kio Town Council. Any use of the information contained herein (including, but not limited to, total or partial reproduction, communication, or dissemination in any form) by persons other than the intended recipient(s) is prohibited. If you have received this e-mail in error, please notify the sender immediately and delete it.] ** [Policy on Personal Data: We may collect, use and disclose personal data sent to us in accordance with our policy at www.amktc.org.sg. By emailing us personal data, you consent, and warrant that other relevant individuals consent, to our policy.]** (See attached file: image001.png)
","We have contacted XXXX separately to discuss the matter as this requires a holistic review with SPF inputs as well.
",3676,116
"..............................................................................
From :  		 XXXX 
To :  		 XXXX  
CC :  		 XXXX 
Subject :  	FW: Solar Panel Installation in XXXX  between 10 to 12 noon - 28th May 2019.
Delivered on :  	29/05/2019 08:48:04 AM
..............................................................................
 Your Ref
       TEL
 Our Ref 
       FAX
       Email
Categories 
Message Classification: Restricted
Dear HDB Colleagues
Can you please look into the email below and reply to the writer directly. Please extend a copy of the reply, along with the original email to MND (mnd_qsm_mnd.gov.sg) for our records. Thank you. 
cc pl acknowledge, thanks.
XXXX 
' DID: XXXX  Fax: XXXX  - XXXX 
Our Vision¨An Endearing Home, A Distinctive Global City
Our Mission¨Develop world-class infrastructure ¨Create a vibrant and sustainable living environment ¨Build rooted and cohesive communities
Privileged/Confidential information may be contained in this message. If you are not the intended recipient, you must not copy, distribute or use it for any purpose, nor disclose its contents to any other person. Please notify the sender immediately if you receive this in error.
From: XXXX   
Sent: Tuesday, 28 May 2019 11:12 PM
To: XXXX 
Subject: Solar Panel Installation in XXXX  between 10 to 12 noon - 28th May 2019.
I write this with deep concerns as to how this tender was awarded :
The 2 lifts were connected to a SINGLE system as such when the Solar panels were to be commissioned - BOTH lifts had to be shut down to cut the power over.
I know that 2 or more lifts were installed to avoid such inconveniences to residents.
In this block, there are many old residents, what if : 
Someone had a serious fall leading to fractures. 
A medical emergency like a heart attack, a reality as HDB now has Fribillators - installed in many blocks at strategic locations.
Fires which can spread very quickly
Any other life-threatening incidences where medical emergency teams have no access to the victims immediately.
There are NO FIRE ESCAPE ROUTES in any HDB buildings - in 1st world countries - the rear of the apartments have escape stairs in case of such emergencies.
What's the point of lift upgrading, lifts on every floor and HIPs when the human lives are given scant respect? 
Why in your design implementation for your tenders, would your chief architects even consider a single point of failure when every critical installation must have a backup system be it a fail-over power system, servers and any critical component that will impact human inconveniences   lives.
In 1st world countries, such routine sweeping, cleaning, maintenances, repairs   upgrading of ALL PUBLIC UTILITIES are done in the wee hours of the night to early hours to reduce such incumbrances unless its an emergency.
ONLY in S'pore, I believe for the sake of cutting costs, we perform such tasks in the day.
Hope to hear from you as to why these factors were not considered when awarding this tender.
Failing which, I reserve the right to sent this e-mail to online publications.
Thank you,
XXXX 
XXXX 
HP : XXXX 
EACH DAY IS GIFT FROM GOD !!!
SHALOM = Completeness, wholeness, health, peace, welfare, safety, soundness, tranquility, prosperity, perfectness, fullness, rest, harmony, the absence of agitation or discord.
The LORD bless you and keep you; The LORD make His Face shine upon you and be gracious to you; The LORD turn His Face toward you and give you peace."" Numbers 6: 24-26.
""Do all the good you can, by all the means you can, in all the ways you can, in all the places you can, at all the times you can, to all the people you can, as long as you ever can."" - John Wesley 
________________________________
Posted by XXXX / on 29/05/2019 08:48:01 AM
","Thank you for your feedback and concern.
2          As part of the solar photovoltaic (PV) installation process, it is necessary for the solar PV system to be connected to the electric reticulation of the block via the consumer switchroom at the ground floor of the HDB block. This is to enable the solar energy that is generated to be used to power the common services or be exported. This electric connection requires an electrical shutdown for the block for safety.
3        Prior to the works, shutdown notices were put up at all lift lobbies since 21 May to inform the residents of the electrical supply disruption, including the estimated shutdown duration, which was indicated to take place between 10.45am to 11.45am. The actual electrical shutdown took place within this time frame. We would also like to share that workers were deployed at the block on the day of electrical shutdown (i.e. 28 May) to render support to residents e.g. to carry luggage, groceries, or assist residents up the stairs.
4        With regard to your concerns on HDB lift design, we would like to share that the lifts in HDB blocks are designed with an emergency backup supply. This is to ensure that the lift will always be able to safely transport a resident to the nearest floor in the event of a power failure. Notwithstanding, we are constantly improving our building design. For new HDB blocks and upgrading tenders from Sep 2018 onwards, we have improved on the lift design to ensure that there will be at least 1 lift in operation when there are works affecting the main consumer switchboard.
5        Also, in the event of fire, please do not use the lifts. The staircases are the designated fire escape route for each HDB block.
6        We apologies for the inconvenience caused and seek your understanding. Thank you.
",3758,1816
"..............................................................................
XXXX
Subject :  	RE: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
Delivered on :  	30/05/2019 11:00:56 AM
..............................................................................XXXX
 Your Ref
 Our Ref 
 Categories
Hi XXXX,
To answer your queries, yes there is a schedule for the shutdown for tie-in, however, the schedule will not be accurate as it will only be confirmed once all relevant parties are available for the date when closer to the shutdown date.
For SolarNova 2   3 projects under Sembcorp, we will be working within the blocks of Ang Mo Kio Town Council, Marsiling-Yew Tee Town Council, Choa Chu Kang Town Council and West Coast Town Council. Normally we provide 1 week notice to Town Council.
For all shutdowns, we will cc the shutdown date and timing to you 1 week before the shutdown from now on, hence, kindly provide the email distribution list for us. In addition, we will try our best to minimize the disruption to the surveillance CCTV.
Best Regards,
XXXX 
XXXX 
XXXX XXXX 
cid:image009.png_01D42044.56329ED0
From: Feedback  feedback_amktc.org.sg  
Sent: Monday, 27 May 2019 9:56 AM
To: XXXX  XXXX 
Cc: XXXX 
Subject: Re: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
Dear Sir/Mdm,
Thank you for writing in to Ang Mo Kio Town Council with your query. 
We refer to your email. 
As the matter of concern falls under the purview of Housing Development Board and its contractors for the project, we will by the way of this email forward your feedback to them to request them to look into your concerns and they will reply to you directly. 
CC HDB and its contractors:
Dear HDB and contractors,
Please assist with this query. 
Thank you and have a good day!
With Best Regards,
XXXX 
Public Relations   Community Liaison Executive
Ang Mo Kio Town Council
Website : www.amktc.org.sg
For emergency cases outside office hours, please contact the 24-hour Essential Maintenance Services Unit (EMSU) at 1800-241-7711/1800-241-7711/1800-275-5555. Alternatively, to reach your property team directly, you may write to http://www.amktc.org.sg/feedback.aspx
 From: XXXX  
Sent: Monday, 27 May 2019 9:47 AM
To: Feedback
Cc: XXXX 
Subject: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide 
Dear Sir/Mdm, 
With regards to the Solar Leasing of Grid-Tied Solar Photovoltaic System, we understand that electrical shutdown will be required to facilitate the works as reflected in the Temporary Shut Down Notice as show below:
One of the affected sites will be on the switch room where it houses Polcam equipment – Police CCTV deployed in HDB.
As the managing agent for SPF, can we kindly check whether there is an island-wide schedule for this type of works? 
The reason is to enable minimal disruption to SPF operation as we can plan the resources much more effectively.
Kindly help to advise please. Thank you.
Best Regards
cid:XXXX 
Maintenance Manager
XXXX W www.certisgroup.com
""Disclaimer: This email message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such case, please destroy the message and notify the sender immediately.""
""With effect from 23 October 2018, the Certis email domain has been changed to ""certisgroup.com"". Please amend your contact list to reflect the new domain name. Disclaimer: This e-mail message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such a case, please destroy the message and notify the sender immediately.""
[This e-mail and any attachments thereto are intended for the sole use of the recipient(s) named above and may contain information that is confidential and/or proprietary to Ang Mo Kio Town Council. Any use of the information contained herein (including, but not limited to, total or partial reproduction, communication, or dissemination in any form) by persons other than the intended recipient(s) is prohibited. If you have received this e-mail in error, please notify the sender immediately and delete it.] ** [Policy on Personal Data: We may collect, use and disclose personal data sent to us in accordance with our policy at  www.amktc.org.sg. By emailing us personal data, you consent, and warrant that other relevant individuals consent, to our policy.]** 
XXXX ............................................................................................................................................................ 
This e-mail is confidential and may also be privileged. If you are not the intended recipient, please delete it and notify us immediately. You should not copy or use it for any purpose, nor disclose its contents to any other person. Thank you. 
(See attached file: image001.png)(See attached file: image004.png)
","We will like to take the lead on this request as this concerns the entire SolarNova programme. Are you able to link us up with the Certis personnel (via email)? Will need to separately verify with SPF side as well since we are unsure whether Certis is the managing agent for the entire Singapore surveilance or just specific areas. We will get back to SN2 and SN3 on the next steps required after this engagement with Certis / SPF.
Thank you.
",5062,443
"..............................................................................
XXXX Subject :  	RE: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
Delivered on :  	31/05/2019 01:23:00 PM
..............................................................................
XXXX 
 Your Ref
 Our Ref 
 Categories
HiXXXX 
Thank you for the facilitation. 
Please refer to the email distribution list as follows:
XXXX Best Regards
XXXX ""Disclaimer: This email message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such case, please destroy the message and notify the sender immediately.""
From: XXXXX
Sent: Thursday, May 30, 2019 11:00 AM
To: XXXX  
Cc: XXXX 
Subject: RE: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
CAUTION!: This email originates from an external source.
Hi XXXX 
To answer your queries, yes there is a schedule for the shutdown for tie-in, however, the schedule will not be accurate as it will only be confirmed once all relevant parties are available for the date when closer to the shutdown date.
For SolarNova 2   3 projects under Sembcorp, we will be working within the blocks of Ang Mo Kio Town Council, Marsiling-Yew Tee Town Council, Choa Chu Kang Town Council and West Coast Town Council. Normally we provide 1 week notice to Town Council.
For all shutdowns, we will cc the shutdown date and timing to you 1 week before the shutdown from now on, hence, kindly provide the email distribution list for us. In addition, we will try our best to minimize the disruption to the surveillance CCTV.
Best Regards,
XXXX XXXX 
Subject: Re: Schedule Check for Solar Leasing of Grid-Tied Solar Photovoltaic System Island-wide
Dear Sir/Mdm,
Thank you for writing in to Ang Mo Kio Town Council with your query. 
We refer to your email. 
As the matter of concern falls under the purview of Housing Development Board and its contractors for the project, we will by the way of this email forward your feedback to them to request them to look into your concerns and they will reply to you directly. 
CC HDB and its contractors:
Dear HDB and contractors,
Please assist with this query. 
Thank you and have a good day!
With Best Regards,
XXXX Ang Mo Kio Town Council
Website : www.amktc.org.sg
For emergency cases outside office hours, please contact the 24-hour Essential Maintenance Services Unit (EMSU) at 1800-241-7711/1800-241-7711/1800-275-5555. Alternatively, to reach your property team directly, you may write to http://www.amktc.org.sg/feedback.aspx
 From: XXXX 
Sent: Monday, 27 May 2019 9:47 AM
To: Feedback
Cc:XXXX  
Dear Sir/Mdm, 
With regards to the Solar Leasing of Grid-Tied Solar Photovoltaic System, we understand that electrical shutdown will be required to facilitate the works as reflected in the Temporary Shut Down Notice as show below:
One of the affected sites will be on the switch room where it houses Polcam equipment – Police CCTV deployed in HDB.
As the managing agent for SPF, can we kindly check whether there is an island-wide schedule for this type of works? 
The reason is to enable minimal disruption to SPF operation as we can plan the resources much more effectively.
Kindly help to advise please. Thank you.
Best Regards
XXXX W www.certisgroup.com
""Disclaimer: This email message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such case, please destroy the message and notify the sender immediately.""
""With effect from 23 October 2018, the Certis email domain has been changed to ""certisgroup.com"". Please amend your contact list to reflect the new domain name. Disclaimer: This e-mail message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such a case, please destroy the message and notify the sender immediately.""
[This e-mail and any attachments thereto are intended for the sole use of the recipient(s) named above and may contain information that is confidential and/or proprietary to Ang Mo Kio Town Council. Any use of the information contained herein (including, but not limited to, total or partial reproduction, communication, or dissemination in any form) by persons other than the intended recipient(s) is prohibited. If you have received this e-mail in error, please notify the sender immediately and delete it.] ** [Policy on Personal Data: We may collect, use and disclose personal data sent to us in accordance with our policy at  www.amktc.org.sg. By emailing us personal data, you consent, and warrant that other relevant individuals consent, to our policy.]** 
XXXX............................................................................................................................................................ 
This e-mail is confidential and may also be privileged. If you are not the intended recipient, please delete it and notify us immediately. You should not copy or use it for any purpose, nor disclose its contents to any other person. Thank you. 
""With effect from 23 October 2018, the Certis email domain has been changed to ""certisgroup.com"". Please amend your contact list to reflect the new domain name. Disclaimer: This e-mail message may contain confidential, proprietary or legally privileged information. If you are not the intended recipient, you may not copy, distribute or take any action in reliance thereon. In such a case, please destroy the message and notify the sender immediately.""
(See attached file: image002.png)(See attached file: image004.png)
","As per latest email correspondence dated 6 June 2019, we are liaising via email with SPF, your said colleagues from Certis as well as ST Eng on this matter. Closing this thread to deal with it offline via email._x000D_
Thank you._x000D_",5831,236
"..............................................................................
XXXX
Subject :  	Installation of Transmitter at corridor of flat
Delivered on :  	04/06/2019 04:41:04 PM
..............................................................................
XXXX
 Your Ref
 Our Ref 
 Categories
Dear HDB officer,
I am a resident in XXXX
HDB has installed transmitters at corridors of our flat units.
Can I know what is the purpose of this transmitter?
The person in charge of my block is a gentleman by the name Mr Liaw.
When I called XXXX, there is no response.
Is he on leave?
Can anyone contact me to explain the details?
My hand phone number is XXXX
Thank you!
XXXX
",,675,0
"f/bc got drilling sound from r/top , resd req to chk , also resd   her ngbour can smelll very strong petrol smell o/s # , req to chk","1.        We received your feedback of drilling noise from the rooftop._x000D_
2.        We wish to inform that the contractor has already completed the work that involves drilling in April 2019. There should not be any more heavy works which involve the solar installation. As for the petrol smell, we can assure you that the solar works on the rooftop does not involve any fuel or petroleum products._x000D_
3.        Thank you_x000D_",132,436
"Hi XXXX
I refer to your recent emails with XXXX and XXXX on XXXX case. He has again written on the same topic of seeking mediation for alleged breach of copyrights on both the solar electric and parking systems. I have attached the 2 emails below.
I understand that HMG had informed us on 4 Jun that Mr Chua's ""paperless parking system"" idea was not approved for funding in the 2004 TEC submission and we are currently awaiting BRI’s comments as to whether his submission relating to solar electric systems discloses any new ideas that HDB may have subsequently adopted.
Would you be able to keep me clued in once BRI gets back to you so that we can work on a response together? Thank you! 
","We refer to your letters dated 16 May, 29 May and 16 Jun 2019._x000D_
From your letters, we understand that you had earlier submitted ideas for the use of solar power for HDB homes and common areas and for paperless parking to avoid fines to The Enterprise Challenge (""TEC"") in 2004. However, we have confirmed that these ideas were not new as solar panels and paperless parking were already ideas that existed at that point in time._x000D_
In your letters, you have alleged that HDB has infringed or used your copyright in relation to the ideas. As copyright applies to expression of ideas in tangible forms and not ideas alone, your claim that HDB has infringed or used your copyright in the ideas is without merit._x000D_
We will not be acceding to your requests to address your claims of copyright infringement via alternative modes of dispute resolution or mediation at the World Intellectual Property Organisation Arbitration and Mediation Centre._x000D_",691,960
"..............................................................................
XXXXSubject :  	Complaint on Noisy Renovation work by HDB appointed contractor: SUNSEAP LEASING PTE LTD
Delivered on :  	29/06/2019 10:29:37 AM
..............................................................................
XXXX Your Ref
 Our Ref 
 Categories
Dear High Level Management of HDBs,
HDBs are the home to stay for majority of Singaporean. Kindly PLEASE allow a person to sleep-in during weekends at least. Allow a human to rest at ease at their own home PLEASE!! Kindly view the attachment.
Your HDB rules clearly stated: ""Noisy renovations within the flat such as demolishing of walls, removing wall/ floor finishes, cutting of tiles and heavy and excessive drilling works, etc. can only be carried out between 9:00am and 5:00pm on weekdays""
No avenue I can find to write in a feedback to file a complaint on such issue.
It has happened on several Saturdays where SUPER NOISY WORKS are carried out as early as 8+, 9am such as KNOCKING   MASSIVE DRILLING FOR A PROLONGED PERIOD OF TIME.
29th June 2019 Saturday (Heavy Knocking and Massive Drilling) starts at 9am 
Many other more dates which happened on Saturday mostly and once on Sunday. It is ridiculous.
It is as though they are trying their luck, and I have to call the contractor who sometimes pick up and sometimes do not pick up and no use most of the time. They continued to messed up my/our lives.
I hope HDB can do something about your contractor screening process. Failed!
Dear Ms XXXX
This happened in the Pasir Ris-Punggol district in which you are in-charge of. I hope you do help in this event especially to someone who is sleep deprived for several weeks due to all the morning weekends noise caused by the contractors HDB engaged. I deeply appreciate your help. I needed a good rest on weekends please. Weekends work week are long enough. Please allow my weekends to be at least normal.
Thanks
Sincerely Yours,
XXXX
Sent from Outlook(See attached file: WhatsApp Image 2019-06-29 at 10.08.41 AM.jpeg)
",,2058,0
